TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
2020-04-24;25.2;36.2;28.5;83.0;28.5;5.1;3;350;2;N 
2020-04-28;25.0;31.2;27.5;86.0;6.65;5.5;3;340;2;E 
2020-05-02;25.2;32.0;28.0;88.0;18.4;5.1;4;240;1;C 
2020-05-04;24.0;33.4;28.8;83.0;9.45;3.3;3;190;1;C 
2020-05-06;25.8;34.4;29.9;81.0;0.6000000000000001;5.8;3;240;1;SW
2020-05-07;25.8;34.2;29.9;80.0;0.30000000000000004;4.2;3;220;2;SW
2020-05-09;26.4;32.8;28.1;88.0;21.0;6.1;4;270;1;C 
2020-05-11;25.4;35.2;29.2;80.0;21.0;3.6;4;140;2;E 
2020-05-14;25.6;32.8;29.3;81.0;1.35;5.4;4;170;2;C 
2020-05-27;24.6;33.4;29.4;82.0;6.199999999999999;7.7;4;170;2;S 
2020-06-05;24.9;33.8;28.8;82.0;0.9333333333333333;4.9;2;340;2;N 
2020-06-16;25.2;33.7;28.6;81.0;21.733333333333334;1.5;4;180;2;N 
2020-06-17;25.4;33.3;28.1;85.0;12.866666666666667;4.8;4;190;1;C 
2020-06-30;23.6;33.8;27.8;82.0;9.600000000000001;2.3;3;30;2;N 
2020-07-01;24.8;32.0;27.7;81.0;4.800000000000001;6.2;3;220;2;E 
2020-07-11;25.4;32.4;27.4;87.0;24.400000000000002;1.6;3;290;2;NW
2020-07-20;25.4;33.0;28.5;80.0;1.7666666666666666;3.8;3;340;2;N 
2020-07-21;25.0;31.9;27.7;83.0;2.533333333333333;3.1;2;290;2;E 
2020-07-25;25.0;31.2;27.7;79.0;3.25;4.8;4;30;2;NE
2020-07-28;24.3;33.2;28.4;80.0;4.3;5.0;4;60;2;N 
2020-07-30;23.8;31.2;27.6;81.0;0.16666666666666666;6.6;3;40;2;N 
2020-07-31;25.8;30.4;27.4;83.0;0.3333333333333333;0.1;3;10;2;N 
2020-08-02;24.0;29.4;27.0;86.0;1.6666666666666667;1.3;2;30;1;NE
2020-08-03;24.8;33.0;27.5;84.0;2.8333333333333335;0.5;3;10;2;N 
2020-08-05;25.4;31.8;27.9;84.0;6.65;1.0;4;150;2;E 
2020-08-08;25.4;33.0;28.7;79.0;1.8333333333333335;5.4;4;130;2;E 
2020-08-09;25.2;31.0;27.1;89.0;3.566666666666667;7.2;3;20;1;N 
2020-08-21;25.3;32.4;28.0;81.0;2.25;4.6;4;130;2;SE
2020-08-23;25.8;33.5;27.8;83.0;4.1;7.6;4;10;2;NW
2020-08-26;25.6;31.3;27.4;84.0;24.0;3.8;3;330;2;N 
2020-09-05;25.6;33.0;29.0;79.0;34.0;2.0;3;300;2;NW
2020-09-13;24.0;29.2;27.4;83.0;2.9;2.0;3;360;2;E 
2020-09-18;24.6;33.8;30.0;73.0;3.45;3.0;4;280;2;W 
2020-10-02;24.4;34.0;29.1;78.0;2.3333333333333335;5.8;3;360;2;N 
2020-10-03;26.0;32.8;28.3;81.0;2.5666666666666664;5.1;3;320;1;C 
2020-10-05;24.4;30.4;27.8;82.0;3.3;4.4;3;290;2;NW
2020-10-06;25.0;32.6;27.4;86.0;3.8;0.0;4;20;2;C 
2020-10-12;24.8;30.4;27.6;85.0;3.9000000000000004;6.4;4;290;1;C 
2020-10-17;25.0;30.8;26.1;94.0;17.55;0.0;6;90;1;E 
2020-10-21;25.0;33.6;28.5;78.0;5.799999999999999;4.9;3;180;2;W 
2020-10-22;24.2;35.0;29.8;73.0;2.8999999999999995;3.2;4;310;2;NW
2020-10-26;25.4;34.7;28.5;78.0;0.0;5.1;4;150;2;W 
2020-10-27;25.2;31.6;28.0;76.0;0.0;4.8;5;270;3;W 
2020-10-30;25.2;34.3;28.8;72.0;21.900000000000002;1.6;5;90;3;NE
2020-11-01;24.8;32.0;28.1;77.0;24.75;3.1;3;270;2;NE
2020-11-04;24.4;32.8;28.0;81.0;12.666666666666666;2.8;5;190;2;NE
2020-11-09;24.2;34.0;28.9;78.0;7.5;2.9;4;270;2;S 
2020-11-11;24.6;33.2;28.4;82.0;2.5;4.0;3;360;1;C 
2020-11-14;26.2;33.0;28.9;80.0;0.43333333333333335;6.7;5;90;3;NE
2020-11-16;25.4;31.8;28.5;79.0;0.65;3.1;4;270;2;W 
2020-12-01;23.2;34.0;28.4;82.0;15.2;0.8;4;300;2;NW
2020-12-03;23.6;34.6;28.0;83.0;10.75;0.0;4;190;2;NW
2020-12-06;25.6;33.0;29.4;80.0;0.0;7.5;4;310;2;NW
2020-12-09;26.8;33.6;29.4;78.0;5.65;4.7;3;90;1;C 
2020-12-12;25.8;32.4;27.1;87.0;8.75;5.2;4;220;1;C 
2020-12-14;25.4;33.8;28.7;79.0;7.9;3.6;4;310;2;NW
2020-12-16;24.8;33.0;28.2;84.0;4.0;4.6;3;300;2;NW
2020-12-20;24.2;33.5;29.0;77.0;6.233333333333333;0.8;6;250;3;W 
2020-12-21;24.4;33.6;27.5;82.0;7.866666666666667;6.1;4;250;2;W 
2021-01-11;25.4;33.0;28.4;82.0;12.75;5.5;4;260;2;S 
2021-01-14;24.6;31.8;27.7;85.0;32.65;4.0;4;300;3;W 
2021-01-19;25.1;33.8;28.6;84.0;4.5;4.8;4;240;2;SW
2021-01-23;23.5;32.7;28.3;84.0;13.25;0.0;3;300;2;NW
2021-01-26;24.4;34.2;27.7;84.0;15.95;0.1;3;290;2;W 
2021-01-29;24.6;33.0;28.5;80.0;3.5250000000000004;3.3;4;50;2;E 
2021-01-30;25.0;34.2;28.0;82.0;2.35;3.7;3;330;2;NE
2021-01-31;24.6;33.4;28.6;79.0;1.1749999999999998;6.8;5;80;3;E 
2021-02-03;25.0;34.8;28.2;84.0;20.199999999999996;0.0;4;10;2;N 
2021-02-07;24.0;32.5;28.3;82.0;0.5;5.0;4;360;2;E 
2021-02-08;26.2;34.0;28.9;80.0;1.0;1.2;4;30;2;N 
2021-02-12;25.4;27.0;25.6;92.0;11.7;2.7;3;310;1;W 
