TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CUACA,Encoding CUACA
2020-04-01,24.2,32.0,27.5,82.0,4.5,6.1,5,230,2,SW,Hujan,1
2020-04-02,23.3,33.0,28.1,85.0,4.5,3.9,3,30,2,NW,Hujan,1
2020-04-03,24.8,34.0,29.2,77.0,29.5,5.0,4,250,3,W ,Hujan,1
2020-04-04,25.2,33.7,29.5,74.0,0.0,7.8,5,250,3,W ,Cerah,0
2020-04-05,26.0,35.0,29.6,72.0,0.0,6.6,5,270,3,W ,Cerah,0
2020-04-06,24.6,34.8,30.4,71.0,0.0,8.0,5,250,3,W ,Cerah,0
2020-04-07,24.4,34.0,28.5,81.0,0.0,7.8,3,30,2,N ,Cerah,0
2020-04-08,24.2,31.1,27.4,86.0,10.0,5.9,4,150,2,N ,Hujan,1
2020-04-09,25.2,34.0,28.1,83.0,5.0,0.6,4,200,2,N ,Hujan,1
2020-04-10,25.0,33.8,29.2,80.0,3.0,4.9,4,210,2,NW,Hujan,1
2020-04-11,23.8,31.0,27.6,78.0,1.0,5.3,4,10,2,N ,Hujan,1
2020-04-12,24.6,34.0,29.0,78.0,2.5,0.7,4,250,2,W ,Hujan,1
2020-04-13,25.8,34.6,29.4,77.0,4.0,6.9,4,270,2,W ,Hujan,1
2020-04-14,24.4,34.0,29.2,74.0,0.0,7.2,5,260,2,SW,Cerah,0
2020-04-15,24.6,35.8,29.9,72.0,0.0,6.9,4,240,2,N ,Cerah,0
2020-04-16,24.6,34.8,29.9,72.0,0.0,6.8,4,270,2,W ,Cerah,0
2020-04-17,26.6,35.4,30.2,77.0,0.0,7.6,7,240,4,NW,Cerah,0
2020-04-18,25.4,35.6,30.4,72.0,0.0,7.8,6,260,3,W ,Cerah,0
2020-04-19,25.0,31.6,28.0,83.0,1.3,7.7,4,350,2,N ,Hujan,1
2020-04-20,24.8,33.1,28.7,80.0,0.4,3.2,4,150,2,W ,Hujan,1
2020-04-21,25.5,35.0,29.2,76.0,0.6,3.2,3,160,2,SW,Hujan,1
2020-04-22,25.0,32.2,27.0,90.0,0.0,5.7,13,300,2,N ,Cerah,0
