TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
30-05-2020;25,8;33,5;29;79;0;3,2;4;250;2;NW
31-05-2020;25,6;32,6;28,3;82;0;5,2;5;260;3;W 
01-06-2020;24,8;32;28,3;83;4,4;2,1;4;150;1;C 
02-06-2020;24,8;33,7;27,3;87;0,5;2,7;3;350;1;C 
03-06-2020;24,8;31,7;28,1;84;44,5;3,6;3;230;1;C 
04-06-2020;25,2;33,9;28,6;82;1,4;2,9;3;220;1;C 
05-06-2020;24,9;33,8;28,8;82;8888;4,9;2;340;2;N 
06-06-2020;-;29,4;27,3;86;8888;4,9;3;180;2;N 
07-06-2020;23,8;33,2;28;82;0;0,1;3;340;2;NW
08-06-2020;25,6;30,8;27,2;90;0;5,6;3;70;2;C 
09-06-2020;25,5;31,4;27,1;89;6,8;1,5;4;90;2;E 
10-06-2020;25;33;29;79;6,8;3,7;4;100;2;NE
11-06-2020;25,4;33;28,5;82;0;6;4;130;2;NW
12-06-2020;26;-;28,8;81;8888;3;3;50;2;SE
13-06-2020;26;33;28,8;84;0;2,2;3;180;1;S 
14-06-2020;25,2;32,8;28;86;11;2,4;4;250;2;N 
15-06-2020;23,6;29,4;26,4;86;30,6;5;3;320;1;NW
16-06-2020;25,2;33,7;28,6;81;8888;1,5;4;180;2;N 
17-06-2020;25,4;33,3;28,1;85;8888;4,8;4;190;1;C 
18-06-2020;24,5;33,4;-;-;4;2,9;3;350;2;N 
19-06-2020;24,8;31,6;27,4;86;1;5;3;230;1;N 
20-06-2020;24,6;30,6;27,3;87;11;1,6;2;320;1;C 
21-06-2020;25;33,2;27,6;85;1,5;1,5;3;210;2;N 
22-06-2020;-;30,2;27,2;88;5,3;4,6;3;160;1;C 
23-06-2020;-;32,4;26,9;86;4;0,3;2;350;1;C 
24-06-2020;-;28,6;26,1;91;1;3;3;60;1;NW
25-06-2020;24,4;30,8;26,8;88;2,2;0;4;80;2;N 
26-06-2020;25;28,8;26,1;90;21,1;2,5;3;40;2;N 
27-06-2020;24,3;30,2;26,4;87;0,5;0;3;360;1;N 
28-06-2020;24,4;28,4;26;90;0,6;0,7;3;360;2;N 
29-06-2020;24;31,2;27,1;83;14,4;1,2;4;200;1;C 
30-06-2020;23,6;33,8;27,8;82;-;2,3;3;30;2;N 
01-07-2020;24,8;32;27,7;81;8888;6,2;3;220;2;E 
02-07-2020;26;32,6;28,3;82;0;3,1;3;180;2;E 
03-07-2020;24,2;30,4;27;83;0;1,8;3;90;2;NE
04-07-2020;25,2;32,4;28,1;81;1;0,2;3;150;2;N 
05-07-2020;24,4;31;28,2;79;0;3,6;3;150;2;E 
06-07-2020;25;30;26,6;86;0;2,7;2;90;1;C 
07-07-2020;24,8;33,3;27,4;84;1,5;0;3;20;2;N 
08-07-2020;24,4;29,7;26,6;90;1,4;5,1;3;310;1;N 
09-07-2020;24,6;30;26,1;90;3;0,3;3;330;1;NW
10-07-2020;-;31;26,7;85;34,7;0,7;2;220;1;N 
11-07-2020;25,4;32,4;27,4;87;8888;1,6;3;290;2;NW
12-07-2020;24,6;29;26,5;89;14,1;2;2;320;1;C 
13-07-2020;24,5;33,4;28,3;82;5,8;0;3;10;1;N 
14-07-2020;24;27,6;25,2;93;12,1;7;2;240;1;N 
15-07-2020;23,8;31,6;26,4;88;13,7;0;3;300;1;NW
16-07-2020;24;29,2;26,2;91;25,9;2,6;2;360;1;C 
17-07-2020;24,4;32,2;27,9;81;5;0,6;4;240;2;SW
18-07-2020;24,8;31,6;27,2;86;0,4;4,9;3;230;2;N 
19-07-2020;24,6;33;27,9;82;1;2,9;3;190;2;C 
20-07-2020;25,4;33;28,5;80;-;3,8;3;340;2;N 
21-07-2020;25;31,9;27,7;83;8888;3,1;2;290;2;E 
22-07-2020;24,4;32;27,3;84;3,3;2,9;3;240;2;W 
23-07-2020;24,3;28;26,3;90;10;5,1;3;270;1;W 
24-07-2020;24,6;32,1;27,6;82;3;0;3;310;2;NE
25-07-2020;25;31,2;27,7;79;-;4,8;4;30;2;NE
26-07-2020;25;31,2;27,2;83;3,5;3,3;3;50;2;NE
27-07-2020;24,8;32,3;27,7;83;8,6;4;3;50;2;N 
28-07-2020;24,3;33,2;28,4;80;8888;5;4;60;2;N 
29-07-2020;25,2;33;28;80;0;6,3;5;60;3;NE
30-07-2020;23,8;31,2;27,6;81;-;6,6;3;40;2;N 
31-07-2020;25,8;30,4;27,4;83;8888;0,1;3;10;2;N 
01-08-2020;24,9;31,1;27,7;81;0,5;0;3;30;2;N 
02-08-2020;24;29,4;27;86;8888;1,3;2;30;1;NE
03-08-2020;24,8;33;27,5;84;8888;0,5;3;10;2;N 
04-08-2020;24,2;30,6;27,1;87;4;1,9;3;110;1;C 
05-08-2020;25,4;31,8;27,9;84;8888;1;4;150;2;E 
06-08-2020;23,6;32,1;26,7;82;9,3;3,4;3;10;2;N 
07-08-2020;23,6;33;28,7;79;0,1;3;4;90;2;E 
08-08-2020;25,4;33;28,7;79;8888;5,4;4;130;2;E 
09-08-2020;25,2;31;27,1;89;-;7,2;3;20;1;N 
10-08-2020;25;33,4;28,3;80;5,3;0,9;4;200;2;S 
11-08-2020;24,4;32,4;27,7;77;0;6,6;5;150;2;SE
12-08-2020;-;33;28,3;82;1,5;3,7;4;10;2;N 
13-08-2020;24,8;33;27,3;85;21;3,1;3;350;1;C 
14-08-2020;23,2;33,4;27,6;82;2;3,6;4;250;2;C 
15-08-2020;26,2;30,2;27;88;3;5,8;3;10;1;C 
16-08-2020;24,4;30,9;26,6;86;81,8;0,7;3;350;1;E 
17-08-2020;23,9;32,4;27,8;81;0,8;2,6;4;90;2;NE
18-08-2020;25;32,2;27,1;85;0;-;5;330;2;N 
19-08-2020;23,8;31;26,7;87;1,7;3,3;3;70;2;C 
20-08-2020;25;33,2;27,9;83;3,8;2,9;4;150;2;SE
21-08-2020;25,3;32,4;28;81;8888;4,6;4;130;2;SE
22-08-2020;24,8;34,6;28,7;78;0,7;5,1;4;150;3;SE
23-08-2020;25,8;33,5;27,8;83;-;7,6;4;10;2;NW
24-08-2020;23,2;32,8;27,1;84;7,5;5,3;2;360;1;C 
25-08-2020;24,8;31,8;27,1;85;2;4,1;4;150;2;E 
26-08-2020;25,6;31,3;27,4;84;8888;3,8;3;330;2;N 
27-08-2020;23,8;32,2;27;87;46;0,6;3;90;1;NW
28-08-2020;24;32,6;26,7;85;18,6;3,4;3;20;1;C 
29-08-2020;24;33;27,3;87;0,4;4,3;3;300;2;NW
30-08-2020;25,2;33,6;27,3;86;17;4,5;2;20;1;NW
31-08-2020;25;31,1;27,6;83;1,7;4,9;4;90;2;E 
01-09-2020;24,4;31,4;28,2;80;6,5;2,4;3;350;1;NW
02-09-2020;25;31,4;28,2;82;4;3,1;5;20;1;C 
03-09-2020;24,4;31,2;28,2;81;2,5;2,9;2;99;1;E 
04-09-2020;24,8;30,6;28,3;81;66;2,2;3;110;1;N 
05-09-2020;25,6;33;29;79;8888;2;3;300;2;NW
06-09-2020;24,8;30,2;27,8;81;2;3,4;3;10;2;NE
07-09-2020;25;29,5;27,8;83;3,9;1,4;3;290;2;NE
08-09-2020;24,5;32,8;28,7;79;8,9;1,5;4;300;1;NW
09-09-2020;24;30,6;27,5;84;18,3;3,3;2;290;1;C 
10-09-2020;24,6;32,3;29,3;76;5,1;2,9;4;40;2;NW
11-09-2020;24,2;31,2;27,7;82;6,4;5,1;3;320;1;W 
12-09-2020;24,4;31,4;28,8;76;4,8;1,4;3;170;1;NW
13-09-2020;24;29,2;27,4;83;8888;2;3;360;2;E 
14-09-2020;24;32,3;29,3;73;1;0;4;330;2;NW
15-09-2020;24,8;31,3;28,3;77;0,9;6;4;290;2;NW
16-09-2020;24,2;34,4;30,8;64;0;0,2;3;10;2;E 
17-09-2020;25,2;33,4;30,1;71;0;7,5;4;150;2;E 
18-09-2020;24,6;33,8;30;73;-;3;4;280;2;W 
19-09-2020;24,8;31,2;28,3;79;6,9;4,8;5;270;2;W 
20-09-2020;24,8;32,3;29,4;76;0,9;2,6;4;190;2;S 
21-09-2020;24,4;34;30,4;71;0,5;3,3;4;80;2;N 
22-09-2020;24,6;33,6;30,6;69;0;6,9;4;350;2;N 
23-09-2020;24,8;30,4;27,3;81;19,3;6,4;4;320;1;C 
24-09-2020;24;33,2;29,8;73;12;2,8;3;330;2;N 
25-09-2020;-;32,9;27,7;83;8888;5,2;3;330;1;C 
26-09-2020;23,8;33,8;30,3;71;86,1;2,6;3;60;2;N 
27-09-2020;25,2;32;28,1;82;1,3;6,5;3;30;1;C 
28-09-2020;24;31,2;28,4;78;21,6;0,9;3;290;2;NW
29-09-2020;25,2;31,2;28,9;77;3;2;3;360;1;C 
30-09-2020;-;32,8;28,6;79;0,6;1,7;5;140;2;C 
01-10-2020;24,8;33,4;27,8;80;2,1;3,7;4;10;2;N 
02-10-2020;24,4;34;29,1;78;8888;5,8;3;360;2;N 
03-10-2020;26;32,8;28,3;81;8888;5,1;3;320;1;C 
04-10-2020;-;33,2;28,4;80;2,8;2,6;4;330;2;N 
05-10-2020;24,4;30,4;27,8;82;8888;4,4;3;290;2;NW
06-10-2020;25;32,6;27,4;86;8888;0;4;20;2;C 
07-10-2020;-;31,2;27,4;88;4,3;1,6;2;290;1;C 
08-10-2020;24,4;34,6;28,3;83;0,9;0,8;3;140;2;NW
09-10-2020;25,3;30;26,7;90;20,5;5,3;3;310;1;NW
10-10-2020;24,1;29,3;26,7;86;4;0,6;2;330;1;C 
11-10-2020;24,5;33,8;28,4;82;5,2;0;4;90;2;E 
12-10-2020;24,8;30,4;27,6;85;-;6,4;4;290;1;C 
13-10-2020;25,4;32,8;29;80;2,6;1,3;3;210;2;SW
14-10-2020;27,8;35,2;31,6;68;0;5,5;4;230;2;SW
15-10-2020;25,1;28,1;25,8;88;15,4;7,4;2;10;0;C 
16-10-2020;24,8;33,4;27,9;82;7;0;4;90;1;C 
17-10-2020;25;30,8;26,1;94;8888;-;6;90;1;E 
18-10-2020;25;30,2;26,5;92;28,1;0;3;250;1;SW
19-10-2020;-;27,2;24,7;92;17,1;0,2;2;220;1;C 
20-10-2020;23,5;33,2;28,4;81;8,7;0;4;20;2;N 
20-10-2020;23,5;33,2;28,4;81;8,7;0;4;20;2;N 
21-10-2020;25;33,6;28,5;78;8888;4,9;3;180;2;W 
22-10-2020;24,2;35;29,8;73;-;3,2;4;310;2;NW
23-10-2020;26,4;35,2;28,8;78;0;7,7;3;270;2;NW
24-10-2020;24,6;34,1;28,4;82;7,5;6,4;3;280;2;N 
25-10-2020;26,8;-;-;-;0;7,8;4;250;2;NE
26-10-2020;25,4;34,7;28,5;78;8888;5,1;4;150;2;W 
27-10-2020;25,2;31,6;28;76;8888;4,8;5;270;3;W 
28-10-2020;26,6;33;28,3;83;0;4,2;3;330;1;W 
29-10-2020;24,9;33,4;28,6;80;0,3;3,7;6;90;2;N 
30-10-2020;25,2;34,3;28,8;72;-;1,6;5;90;3;NE
31-10-2020;-;32,6;27,5;78;43,5;7,8;3;250;2;W 
01-11-2020;24,8;32;28,1;77;8888;3,1;3;270;2;NE
02-11-2020;25;33,4;26,9;87;6;1,8;3;360;2;S 
03-11-2020;23,4;31,8;27,9;78;16,5;3,5;3;300;2;NW
04-11-2020;24,4;32,8;28;81;-;2,8;5;190;2;NE
05-11-2020;-;34,4;29,1;76;-;2,8;4;20;3;E 
06-11-2020;25;30,4;27,5;84;5;7,3;3;200;1;NW
07-11-2020;25;33,2;28,5;80;2,5;1,4;3;90;1;E 
08-11-2020;23;32,4;27,2;83;10;3,9;3;270;1;W 
